0,1
mortgage,"(0.0022, 4)"
arrived,"(0.0017, 3)"
there.,"(0.0017, 3)"
branch,"(0.0014, 7)"
tellers,"(0.0012, 6)"
knowledgeable,"(0.0011, 2)"
"documents,","(0.0011, 2)"
found,"(0.0011, 2)"
various,"(0.0011, 2)"
patient,"(0.0011, 2)"
fees,"(0.0011, 2)"
family,"(0.0011, 2)"
queen,"(0.0011, 2)"
increase,"(0.0011, 2)"
closed,"(0.0011, 2)"
sense,"(0.0011, 2)"
lying,"(0.0011, 2)"
page,"(0.0011, 2)"
spadina,"(0.0011, 2)"
head,"(0.0011, 2)"
deposits.,"(0.0011, 2)"
says,"(0.0011, 2)"
people.,"(0.0011, 2)"
annual,"(0.0011, 2)"
extra,"(0.0011, 2)"
missing,"(0.0011, 2)"
walk,"(0.0011, 2)"
helpful,"(0.001, 5)"
friendly,"(0.001, 5)"
rude,"(0.0008, 4)"
employees,"(0.0008, 4)"
here.,"(0.0008, 4)"
"smoothly,","(0.0006, 1)"
laundry.,"(0.0006, 1)"
vital,"(0.0006, 1)"
clair,"(0.0006, 1)"
honor,"(0.0006, 1)"
him/this,"(0.0006, 1)"
knowledgable,"(0.0006, 1)"
late,"(0.0006, 1)"
